place_id,value,time,type,id,device_id
2,1.0,2016-06-16T11:32:37,movement,70404,1210115
2,1.0,2016-06-16T11:33:20,movement,70419,1210115
2,1.0,2016-06-16T11:33:21,movement,70420,1210115
2,1.0,2016-06-16T11:33:24,movement,70421,1210115
2,1.0,2016-06-16T11:33:25,movement,70422,1210115
2,1.0,2016-06-16T11:33:30,movement,70423,1210115
2,1.0,2016-06-16T11:33:31,movement,70424,1210115
2,1.0,2016-06-16T11:33:34,movement,70425,1210115
2,1.0,2016-06-16T11:33:35,movement,70426,1210115
5,1.0,2016-06-16T11:33:33,movement,70427,1210143
5,1.0,2016-06-16T11:33:38,movement,70428,1210143
5,0.0,2016-06-16T11:33:27,closed,70429,1210111
2,1.0,2016-06-16T11:33:41,movement,70430,1210115
2,1.0,2016-06-16T11:33:42,movement,70431,1210115
2,1.0,2016-06-16T11:33:45,movement,70432,1210115
2,1.0,2016-06-16T11:33:46,movement,70433,1210115
2,1.0,2016-06-16T11:33:50,movement,70434,1210115
2,1.0,2016-06-16T11:33:51,movement,70435,1210115
5,1.0,2016-06-16T11:33:44,movement,70436,1210143
5,1.0,2016-06-16T11:33:45,movement,70437,1210143
2,1.0,2016-06-16T11:33:57,movement,70440,1210115
2,1.0,2016-06-16T11:33:58,movement,70441,1210115
2,1.0,2016-06-16T11:34:01,movement,70442,1210115
2,1.0,2016-06-16T11:34:02,movement,70443,1210115
2,1.0,2016-06-16T11:34:11,movement,70444,1210115
2,1.0,2016-06-16T11:34:12,movement,70445,1210115
2,0.0,2016-06-16T11:34:14,closed,70446,1210110
2,1.0,2016-06-16T11:34:17,closed,70447,1210110
5,1.0,2016-06-16T11:35:16,movement,70457,1210143
5,1.0,2016-06-16T11:35:17,movement,70458,1210143
5,1.0,2016-06-16T11:36:29,movement,70476,1210143
5,1.0,2016-06-16T11:36:34,movement,70477,1210143
5,1.0,2016-06-16T11:36:35,movement,70482,1210143
5,1.0,2016-06-16T11:36:41,movement,70483,1210143
5,1.0,2016-06-16T11:36:42,movement,70484,1210143
5,1.0,2016-06-16T11:36:46,movement,70485,1210143
5,0.0,2016-06-16T11:36:52,closed,70486,1210111
5,0.0,2016-06-16T11:36:53,closed,70494,1210111
